ExpID,Performance,Date,Date_MJD,Pos_X,Pos_Y,Pos_Z,Pos_U,Pos_E,Pos_N,W_RMS_del,Problem,Problem_String,Analyser,vgosDB_tag
r4927,0.607,2020-01-02,58850.0,-2388896341.18,5043349970.87,-3078590622.09,-54.38,201.66,241.94,['60.8'],False,,IVS,20JAN02XE
r1928,0.484,2020-01-07,58855.0,-2388896489.17,5043350052.13,-3078590553.76,31.51,20.04,-33.61,['37.6'],True,YARRA12M has small clock breaks at ~01:20 and ~11:05 UTC.,IVS,20JAN07XA
r4928,0.7440000000000001,2020-01-09,58857.0,-2388896337.84,5043349964.69,-3078590606.04,-68.31,201.28,252.56,['52.1'],True,YARRA12M,IVS,20JAN09XE
r4929,0.153,2020-01-16,58864.0,-2388896391.53,5043349976.73,-3078590566.50,-57.90,244.65,303.57,['35.7'],True,"YARRA12M - Correlator notes that there were issues getting fringes, likely               due to a faulty power supply at the station.",IVS,20JAN16XE
crf116,0.25,2020-01-20,58868.0,-2388896514.77,5043349876.91,-3078590511.20,-119.35,130.72,-71.84,['30.5'],True,YARRA12M small clock breaks at ~11:40 and ~02:30. ,IVS,20JAN20XN
r1930,0.758,2020-01-21,58869.0,-2388896469.77,5043350051.29,-3078590495.82,-4.56,1.40,10.44,['53.9'],True,YARRA12M small breaks at ~02:42 and ~11:07 UTC.,IVS,20JAN21XA
r4930,0.865,2020-01-23,58871.0,-2388896347.02,5043349949.27,-3078590575.81,-91.73,216.18,274.13,['33.8'],True,YARRA12M 20/01/24 00:32,IVS,20JAN23XE
r1931,0.821,2020-01-27,58875.0,-2388896475.16,5043350062.36,-3078590509.21,12.71,0.91,3.78,['35.6'],True,"YARRA12M small clock breaks at ~027/22:13, ",IVS,20JAN27XA
r4931,0.848,2020-01-30,58878.0,-2388896379.28,5043349933.68,-3078590603.03,-78.76,252.01,250.20,['43.4'],True,YARRA12M had two clock breaks at 05:29:30 (0.76 nsec) and ,IVS,20JAN30XE
r1932,0.8420000000000001,2020-02-03,58882.0,-2388896462.28,5043350035.78,-3078590516.32,-9.66,-0.08,-17.88,['47.5'],True,YARRA12M clock beaks at ~00:09 and ~11:10 UTC.,IVS,20FEB03XA
r4932,0.7929999999999999,2020-02-06,58885.0,-2388896362.27,5043349925.06,-3078590576.65,-104.74,240.32,265.94,['59.5'],False,,IVS,20FEB06XE
r1933,0.815,2020-02-10,58889.0,-2388896475.81,5043350031.75,-3078590489.58,-20.77,13.14,5.45,['53.1'],True,YARRA12M breaks at ~01:27 and ~11:18. ,IVS,20FEB10XA
aov044,0.536,2020-02-11,58890.0,-2388896450.17,5043350051.37,-3078590483.44,-19.18,-4.64,12.04,['86.9'],True,"YARRA12M clock breaks applied at 1:27, 10:11 and 11:27 UTC.",IVS,20FEB11XA
r4933,0.648,2020-02-13,58892.0,-2388896352.13,5043349955.24,-3078590593.40,-76.56,218.24,262.44,['50.2'],True,YARRA12M 20/02/14 01:11,IVS,20FEB13XE
r4934,0.847,2020-02-20,58899.0,-2388896371.02,5043349951.63,-3078590602.99,-67.69,236.86,256.39,['75.7'],True,YARRA12M - Had unreliable relative humidity data; values were set to 50%.,IVS,20FEB20XE
r1935,0.8340000000000001,2020-02-24,58903.0,-2388896455.54,5043350054.75,-3078590513.92,0.29,-2.57,-14.04,['79.8'],True,"YARRA12M clock breaks at ~00:45, ~11:58 and ~13:50. ",IVS,20FEB24XA
r4935,0.847,2020-02-27,58906.0,-2388896332.83,5043349944.37,-3078590581.72,-98.05,205.46,263.87,['48.7'],True,YARRA12M - Had unreliable relative humidity data; values were set to 50%.,IVS,20FEB27XE
r1936,0.741,2020-03-02,58910.0,-2388896456.67,5043350019.50,-3078590500.30,-33.75,12.83,-18.46,['43.8'],True,YARRA12M clock breaks at ~21:20 and ~23:02. ,IVS,20MAR02XA
r4936,0.899,2020-03-05,58913.0,-2388896361.62,5043349938.93,-3078590600.60,-82.41,233.81,250.96,['50.8'],True,YARRA12M 20/03/06 01:00,IVS,20MAR05XE
r1937,0.789,2020-03-09,58917.0,-2388896479.39,5043350053.93,-3078590505.80,4.62,17.90,-4.55,['47.7'],True,YARRA12M clock breaks at ~21:58 and ~23:55.,IVS,20MAR09XA
r4937,0.846,2020-03-12,58920.0,-2388896351.16,5043349943.84,-3078590582.76,-91.09,222.25,266.53,['46.2'],True,YARRA12M 20/03/13 00:39,IVS,20MAR12XE
r4938,0.794,2020-03-19,58927.0,-2388896340.36,5043349902.75,-3078590570.90,-133.36,230.08,256.63,['46.4'],True,YARRA12M 20/03/20 14:15,IVS,20MAR19XE
r4939,0.807,2020-03-26,58934.0,-2388896341.53,5043349941.92,-3078590564.77,-104.95,214.37,279.42,['50.8'],True,"YARRA12M - No data between scans 086-2126b and 086-2224, due to a software               crash.",IVS,20MAR26XE
r1941,0.845,2020-04-06,58945.0,-2388896481.89,5043350064.47,-3078590497.38,9.79,12.79,3.58,['33.7'],True,YARRA12M clock breaks at ~01:04 and ~12:20; missed ~80 minutes to,IVS,20APR06XA
apsg46,0.696,2020-04-07,58946.0,-2388896490.11,5043350387.59,-3078590696.86,365.01,-118.22,-27.49,['103.1'],True,YARRA12M's clock is very unstable with many small breaks. Eight ,IVS,20APR07XA
r4941,0.632,2020-04-08,58947.0,-2388896363.85,5043349950.22,-3078590590.18,-77.71,230.99,265.48,['49.5'],True,YARRA12M 20/04/09 11:25,IVS,20APR08XE
crf118,0.242,2020-04-15,58954.0,-2388896384.80,5043350142.22,-3078590564.31,67.38,-109.17,-42.41,['45.5'],True,YARRA12M clock breaks at ~23:30 and ~02:15.,IVS,20APR15XN
r4942,0.8390000000000001,2020-04-16,58955.0,-2388895742.26,5043351223.24,-3078590496.29,647.97,-1152.74,357.67,['51.0'],True,"YARRA12M, are they ok without AC?",NASA,20APR16XE
r1944,0.517,2020-04-27,58966.0,-2388896500.46,5043350080.08,-3078590520.64,40.36,20.72,-9.35,['38.2'],True,"YARRA12M: clock breaks used at 17:50, 23:45, 02:45, 09:30, 10:45",IVS,20APR27XA
r4944,0.792,2020-04-29,58968.0,-2388896363.73,5043349934.98,-3078590586.88,-91.39,237.40,261.66,['44.3'],True,YARRA12M 20/04/30 00:52,IVS,20APR29XE
aov046,0.321,2020-04-28,58967.0,-2388896492.87,5043350073.70,-3078590505.76,25.26,16.49,-0.86,['33.6'],True,"YARRA12M clock breaks used at 00:20, 04:20, 10:58 and 11:45.",IVS,20APR28XA
r1946,0.835,2020-05-11,58980.0,-2388896468.85,5043350028.46,-3078590505.49,-19.62,12.82,-27.51,['47.6'],True,"YARRA12M clock breaks set at 00:44, 02:55 and 13:12 UTC.",IVS,20MAY11XA
r4946,0.835,2020-05-14,58983.0,-2388896414.16,5043349585.14,-3078590721.83,-283.39,432.74,0.66,['68.6'],True,"YARRA12M had 5 clocks breaks at 20:35:52 (0.46 nsec), 01:13:52",IVS,20MAY14XE
r1948,0.835,2020-05-26,58995.0,-2388896460.24,5043350040.97,-3078590463.01,-33.58,-1.85,10.97,['44.9'],True,"YARRA12M clock breaks used at 01:20, 05:14, 05:40, 09:19 and 10:07.",IVS,20MAY26XA
r1949,0.721,2020-06-02,59002.0,-2388896467.12,5043350045.30,-3078590503.11,-8.12,1.79,-21.85,['45.6'],True,"YARRA12M clock breaks at ~02:00, ~13:50 and ~14:46 UTC. ",IVS,20JUN02XA
r1950,0.777,2020-06-08,59008.0,-2388896465.29,5043350032.63,-3078590468.53,-35.61,4.96,1.50,['35.4'],True,"YARRA12M clock breaks at 01:00, 02:12, 12:20 and 13:25 UTC. ",IVS,20JUN08XA
r4950,0.688,2020-06-10,59010.0,-2388896404.33,5043349574.49,-3078590714.33,-299.14,428.41,0.50,['52.9'],True,YARRA12M had 2 clock breaks at 01:58:49 (-1.03 nsesc) and ,IVS,20JUN10XE
r1951,0.596,2020-06-15,59015.0,-2388896475.98,5043350085.75,-3078590519.34,35.03,-8.85,-18.48,['49.0'],True,"YARRA12M clock breaks at 02:10,04:00, 09:55 and 10:45.",IVS,20JUN15XA
r4951,0.763,2020-06-18,59018.0,-2388896421.45,5043350173.88,-3078590475.73,63.08,-96.17,46.49,['32.7'],True,YARRA12M.,NASA,20JUN18XE
aov048,0.499,2020-06-16,59016.0,-2388896477.22,5043350055.32,-3078590478.76,-6.91,-8.94,5.63,['62.2'],False,,IVS,20JUN16XA
r4952,0.812,2020-06-25,59025.0,-2388896364.24,5043349910.29,-3078590542.80,-132.11,248.43,289.47,['64.8'],True,YARRA12M had two clock breaks at 04:06:21 (-0.36 nsec) and,IVS,20JUN25XE
