       Analysis Report for C1105 ($11SEP19XA) 
   (Analyzed by David Gordon, GSFC Analysis Center.
    Spoolfile source: interactive solve analysis.) 

Problems: No Badary data, media was unreadable after a resynch the
          previous day.
          ZC has a manual Pcal break at 05:15, ~30 nsec offset. 

Parameterization comments: Cable cals off at KK and ZC, manual Pcals used. 

Other comments: Ambiguities resolved to match previous session. 

-----------------------------------------

Session Statistics 

  Observations:     10958 scheduled 
                    8531 correlated (in database)
                    8268 recoverable (usable)
                    8031 used
  Session fit:        27.956 ps

-----------------------------------------

Station Performance 

                           Number of Observations

                    Scheduled   Recoverable*        Used   % of scheduled
                                                              obs used

  BADARY                 1972      NOT CORR     NOT CORR         0.0%
  FORTLEZA               1036           831          753        72.7%
  HARTRAO                1589          1366         1336        84.1%
  HOBART12                608           501          481        79.1%
  KOKEE                  1371          1107         1080        78.8%
  NYALES20               2226          1795         1776        79.8%
  ONSALA60               2096          1788         1726        82.3%
  TIGOCONC                803           706          682        84.9%
  TSUKUB32               1845          1429         1359        73.7%
  WESTFORD               1759          1499         1462        83.1%
  WETTZELL               2341          1945         1913        81.7%
  YEBES40M               2079          1820         1776        85.4%
  ZELENCHK               2191          1749         1718        78.4%
  ---------------   ---------   -----------    ---------       ------
  Station Total**       10958          8268         8031        73.3%

  * Recoverable: can be included in the solution. 
  ** Total includes distinct observations only.

  MISSED:    Station was scheduled, but it did not observe.
  NOT CORR:  Station was scheduled but not correlated.
  NOT USED:  Usable data was generated for this station,
             but the analyst rejected it all.

-----------------------------------------

Source Performance 

                    Number of Observations

                Scheduled  Correlated*    Used      % of scheduled
                                                       obs used

  IIIZW2               60          48       47           78.3%
  0016+731            394         284      275           69.8%
  0048-097              2           1        1           50.0%
  0059+581            506         360      350           69.2%
  0104-408             24          23       19           79.2%
  0111+021              1           1        0            0.0%
  0115-214              7           5        4           57.1%
  0133+476            186         147      146           78.5%
  0134+311              4           3        3           75.0%
  0201+113            150         124      122           81.3%
  0215+015            401         354      350           87.3%
  0256-005             20          16       14           70.0%
  0308-611              8           8        8          100.0%
  0332-403             92          88       82           89.1%
  0346-279              4           4        1           25.0%
  0358+210              1           1        1          100.0%
  0406-127             12           6        4           33.3%
  0420+022            114          90       87           76.3%
  0446+112            168         140      139           82.7%
  0454-234             40          38       28           70.0%
  0458-020             19          19       18           94.7%
  0454+844             17           6        6           35.3%
  0534-340              1           1        1          100.0%
  0537-441             83          77       68           81.9%
  0536+145              1           0        0            0.0%
  0552+398            389         290      272           69.9%
  0556+238              7           3        3           42.9%
  0606-223             15          14       13           86.7%
  0648-165            166         153      126           75.9%
  0656+082              3           2        2           66.7%
  0716+714            519         363      343           66.1%
  0727-115            253         226      203           80.2%
  0738+491             24          19       18           75.0%
  0743+277             22          16       15           68.2%
  0748+126            442         384      353           79.9%
  0800+618            201         141      130           64.7%
  0847-120             10           7        7           70.0%
  OJ287               404         347      321           79.5%
  0912+029             82          63       62           75.6%
  0920-397             13          13        4           30.8%
  0920+390             56          42       42           75.0%
  0925-203             25          22       21           84.0%
  0955+476            125          83       79           63.2%
  1015+359             88          67       55           62.5%
  1015+057             27          19       19           70.4%
  1034-293              9           9        8           88.9%
  1053+704            141          92       89           63.1%
  1057-797             74          68       57           77.0%
  1059+282              3           1        1           33.3%
  1124-186             40          33       30           75.0%
  1144+402            197         132      132           67.0%
  1144-379             43          42       35           81.4%
  1156+295            424         325      302           71.2%
  3C274               173         119      110           63.6%
  1243-160              2           1        0            0.0%
  1255-316              1           1        1          100.0%
  1300+580            144          92       89           61.8%
  1308+328            170         114      107           62.9%
  1324+224            510         388      370           72.5%
  1352-104              1           1        0            0.0%
  1357+769             64          36       36           56.2%
  1406-267              2           2        1           50.0%
  1418+546              8           6        3           37.5%
  1417+385            103          68       67           65.0%
  1424-418             32          25       24           75.0%
  1520+437             17           6        6           35.3%
  1520+319             66          42       41           62.1%
  1519-273              9           9        9          100.0%
  1546+027            343         293      264           77.0%
  1602-115              1           1        1          100.0%
  1623+578              2           1        1           50.0%
  1622-253             83          78       78           94.0%
  1639+230             55          32       32           58.2%
  1639-062            151         131      126           83.4%
  1651+391            142         102      101           71.1%
  1705+018             69          51       49           71.0%
  1741-038            223         184      172           77.1%
  1754+155             99          68       66           66.7%
  1803+784            607         431      421           69.4%
  1759-396             12          11        9           75.0%
  1806+456             36          29       28           77.8%
  1846+322             93          63       61           65.6%
  1908-201             11           9        9           81.8%
  1909+161            120          94       93           77.5%
  1954-388             80          77       68           85.0%
  2008-159            111          98       88           79.3%
  3C418               275         196      190           69.1%
  2052-474             25          24       19           76.0%
  2059+034             57          54       51           89.5%
  2113+293             64          50       44           68.8%
  2141+175            255         195      189           74.1%
  2149+056             17          10        8           47.1%
  2214+350            119          87       84           70.6%
  2227-088            270         245      230           85.2%
  2250+194              9           5        5           55.6%
  2255-282             29          29       28           96.6%
  2300-683             10          10        9           90.0%
  2309+454              4           2        2           50.0%
  2319+317            102          85       78           76.5%
  2355-106             26          23       22           84.6%
  2356+385             39          33       25           64.1%
  ------------  ---------  ----------   ------          ------
  Source Total      10958        8531     8031           73.3%

 * Correlated: included in database 

-----------------------------------------

Baseline Performance 

                                 Number of Observations

                         Scheduled   Recoverable*         Used   % of scheduled
                                                                    obs used

  BADARY-FORTLEZA               31      NOT CORR      NOT CORR         0.0%
  BADARY-HARTRAO               120      NOT CORR      NOT CORR         0.0%
  BADARY-HOBART12               62      NOT CORR      NOT CORR         0.0%
  BADARY-KOKEE                 167      NOT CORR      NOT CORR         0.0%
  BADARY-NYALES20              250      NOT CORR      NOT CORR         0.0%
  BADARY-ONSALA60              195      NOT CORR      NOT CORR         0.0%
  BADARY-TIGOCONC                0      NOT CORR      NOT CORR         0.0%
  BADARY-TSUKUB32              331      NOT CORR      NOT CORR         0.0%
  BADARY-WESTFORD              130      NOT CORR      NOT CORR         0.0%
  BADARY-WETTZELL              234      NOT CORR      NOT CORR         0.0%
  BADARY-YEBES40M              169      NOT CORR      NOT CORR         0.0%
  BADARY-ZELENCHK              283      NOT CORR      NOT CORR         0.0%
  FORTLEZA-HARTRAO             143           122           108        75.5%
  FORTLEZA-HOBART12             24            17            15        62.5%
  FORTLEZA-KOKEE                34            29            29        85.3%
  FORTLEZA-NYALES20             75            57            53        70.7%
  FORTLEZA-ONSALA60            105            90            81        77.1%
  FORTLEZA-TIGOCONC            164           120           105        64.0%
  FORTLEZA-TSUKUB32              9             7             7        77.8%
  FORTLEZA-WESTFORD            132           109            99        75.0%
  FORTLEZA-WETTZELL            104            89            81        77.9%
  FORTLEZA-YEBES40M            142           128           115        81.0%
  FORTLEZA-ZELENCHK             73            63            60        82.2%
  HARTRAO-HOBART12              43            40            40        93.0%
  HARTRAO-KOKEE                  0       NO DATA       NO DATA         0.0%
  HARTRAO-NYALES20             163           143           142        87.1%
  HARTRAO-ONSALA60             192           180           175        91.1%
  HARTRAO-TIGOCONC              87            86            86        98.9%
  HARTRAO-TSUKUB32              70            67            64        91.4%
  HARTRAO-WESTFORD             114           107           105        92.1%
  HARTRAO-WETTZELL             224           208           207        92.4%
  HARTRAO-YEBES40M             236           230           226        95.8%
  HARTRAO-ZELENCHK             197           183           183        92.9%
  HOBART12-KOKEE               146           136           136        93.2%
  HOBART12-NYALES20             16            15            15        93.8%
  HOBART12-ONSALA60              9             7             6        66.7%
  HOBART12-TIGOCONC             75            68            66        88.0%
  HOBART12-TSUKUB32            174           165           150        86.2%
  HOBART12-WESTFORD             13            11            11        84.6%
  HOBART12-WETTZELL             11            11            11       100.0%
  HOBART12-YEBES40M              9             9             9       100.0%
  HOBART12-ZELENCHK             26            22            22        84.6%
  KOKEE-NYALES20               142           130           130        91.5%
  KOKEE-ONSALA60                85            74            72        84.7%
  KOKEE-TIGOCONC               110           104           103        93.6%
  KOKEE-TSUKUB32               275           262           243        88.4%
  KOKEE-WESTFORD               167           154           149        89.2%
  KOKEE-WETTZELL                87            80            80        92.0%
  KOKEE-YEBES40M                59            53            53        89.8%
  KOKEE-ZELENCHK                99            85            85        85.9%
  NYALES20-ONSALA60            281           267           261        92.9%
  NYALES20-TIGOCONC             35            33            33        94.3%
  NYALES20-TSUKUB32            217           208           204        94.0%
  NYALES20-WESTFORD            216           195           194        89.8%
  NYALES20-WETTZELL            307           273           272        88.6%
  NYALES20-YEBES40M            248           230           230        92.7%
  NYALES20-ZELENCHK            276           244           242        87.7%
  ONSALA60-TIGOCONC             47            38            38        80.9%
  ONSALA60-TSUKUB32            147           142           140        95.2%
  ONSALA60-WESTFORD            199           189           180        90.5%
  ONSALA60-WETTZELL            312           295           284        91.0%
  ONSALA60-YEBES40M            257           251           240        93.4%
  ONSALA60-ZELENCHK            267           255           249        93.3%
  TIGOCONC-TSUKUB32             20            12            10        50.0%
  TIGOCONC-WESTFORD            113            99            99        87.6%
  TIGOCONC-WETTZELL             48            44            44        91.7%
  TIGOCONC-YEBES40M             77            75            71        92.2%
  TIGOCONC-ZELENCHK             27            27            27       100.0%
  TSUKUB32-WESTFORD            118           116           111        94.1%
  TSUKUB32-WETTZELL            168           156           152        90.5%
  TSUKUB32-YEBES40M            113           109           106        93.8%
  TSUKUB32-ZELENCHK            203           185           172        84.7%
  WESTFORD-WETTZELL            206           190           189        91.7%
  WESTFORD-YEBES40M            192           184           183        95.3%
  WESTFORD-ZELENCHK            159           145           142        89.3%
  WETTZELL-YEBES40M            318           305           300        94.3%
  WETTZELL-ZELENCHK            322           294           293        91.0%
  YEBES40M-ZELENCHK            259           246           243        93.8%
  -----------------      ---------   -----------    ----------       ------
  Baseline Total             10958          8268          8031        73.3%

  * Recoverable: can be included in the solution. 

  MISSED:     Baseline was scheduled, but at least one of the sites
              did not observe.
  NOT CORR:   Baseline was scheduled but not correlated.
  NO DATA:    The baseline's stations were both correlated,
              but they did not observe together.
  DESELECTED: Usable data was generated for the baseline,
              but the analyst rejected it.
